127.0.0.1 - - [12/Jun/2026:11:00:54 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:23 +0900] "GET /Work/AdminHistory?startDate=2026-05-01&endDate=2026-05-31&searchMemId=staff&attFilter= HTTP/1.1" 200 33288
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:25 +0900] "GET /Work/default.jsp HTTP/1.1" 200 15610
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:27 +0900] "GET /Work/StoreMemberManage HTTP/1.1" 200 57537
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:27 +0900] "GET /Work/GetRoles?storeId=star HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:32 +0900] "GET /Work/admin_attendance.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:32 +0900] "GET /Work/AdminHistory HTTP/1.1" 200 28209
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:38 +0900] "GET /Work/AdminHistory?startDate=2026-06-01&endDate=2026-06-12&searchMemId=&attFilter= HTTP/1.1" 200 28209
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:44 +0900] "POST /Work/AdminAttendanceAction HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:44 +0900] "GET /Work/AdminHistory?startDate=2026-06-01&endDate=2026-06-12&searchMemId= HTTP/1.1" 200 28209
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:35:47 +0900] "GET /Work/AdminHistory?startDate=2026-06-01&endDate=2026-06-12&searchMemId=&attFilter= HTTP/1.1" 200 28209
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:36:54 +0900] "GET /Work/AdminHistory?startDate=2026-06-01&endDate=2026-06-12&searchMemId=&attFilter= HTTP/1.1" 200 28209
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:36:54 +0900] "GET /Work/Emblem.png HTTP/1.1" 200 240078
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:36:54 +0900] "GET /Work/css/style.css HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:36:54 +0900] "GET /Work/jlogo.png HTTP/1.1" 200 205486
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:36:57 +0900] "GET /Work/AdminHistory?startDate=2026-05-01&endDate=2026-05-31&searchMemId=&attFilter= HTTP/1.1" 200 28209
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:43:51 +0900] "GET /Work/AdminHistory?startDate=2026-05-01&endDate=2026-05-31&searchMemId=&attFilter= HTTP/1.1" 500 2083
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:43:51 +0900] "GET /Work/jlogo.png HTTP/1.1" 200 205486
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:43:54 +0900] "GET /Work/default.jsp HTTP/1.1" 200 15610
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:43:56 +0900] "GET /Work/StoreMemberManage HTTP/1.1" 200 57537
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:43:56 +0900] "GET /Work/GetRoles?storeId=star HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:44:01 +0900] "GET /Work/admin_attendance.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:44:02 +0900] "GET /Work/AdminHistory HTTP/1.1" 500 2083
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:44:57 +0900] "GET /Work/AdminHistory HTTP/1.1" 200 28280
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:47 +0900] "GET /Work/AdminHistory HTTP/1.1" 200 30367
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:47 +0900] "GET /Work/Emblem.png HTTP/1.1" 200 240078
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:47 +0900] "GET /Work/css/style.css HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:47 +0900] "GET /Work/jlogo.png HTTP/1.1" 200 205486
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:51 +0900] "POST /Work/AdminAttendanceAction HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:52 +0900] "GET /Work/AdminHistory?startDate=2026-06-01&endDate=2026-06-12&searchMemId= HTTP/1.1" 200 28280
0:0:0:0:0:0:0:1 - - [12/Jun/2026:12:46:59 +0900] "GET /Work/AdminHistory?storeId=star&startDate=2026-05-01&endDate=2026-05-31&searchMemId=&attFilter= HTTP/1.1" 200 52318
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:17 +0900] "GET /Work/AdminHistory?storeId=star&startDate=2026-05-01&endDate=2026-05-31&searchMemId=staff&attFilter= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:17 +0900] "GET /Work/login.jsp HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:32 +0900] "POST /Work/Login HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:32 +0900] "GET /Work/default.jsp HTTP/1.1" 200 15610
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:34 +0900] "GET /Work/admin_attendance.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:34 +0900] "GET /Work/AdminHistory HTTP/1.1" 200 28280
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:35:40 +0900] "GET /Work/AdminHistory?storeId=star&startDate=2026-05-01&endDate=2026-05-31&searchMemId=staff&attFilter= HTTP/1.1" 200 57241
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:37:52 +0900] "POST /Work/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:37:53 +0900] "GET /Work/default.jsp HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:38:01 +0900] "GET /Work/login.jsp HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:38:03 +0900] "POST /Work/Login HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:38:04 +0900] "GET /Work/default.jsp HTTP/1.1" 200 15610
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:38:05 +0900] "GET /Work/admin_attendance.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:38:05 +0900] "GET /Work/AdminHistory HTTP/1.1" 200 28280
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:38:11 +0900] "GET /Work/AdminHistory?storeId=star&startDate=2026-05-01&endDate=2026-05-31&searchMemId=staff&attFilter= HTTP/1.1" 200 57241
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:02 +0900] "POST /Work/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:02 +0900] "GET /Work/default.jsp HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:03 +0900] "GET /Work/login.jsp HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:07 +0900] "POST /Work/Login HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:08 +0900] "GET /Work/default.jsp HTTP/1.1" 200 12683
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:10 +0900] "GET /Work/MyAttendance HTTP/1.1" 200 16797
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:39:14 +0900] "GET /Work/MyAttendance?startDate=2026-05-01&endDate=2026-05-31 HTTP/1.1" 200 43317
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:40:07 +0900] "GET /Work/qr_check.jsp HTTP/1.1" 200 9089
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:40:42 +0900] "GET /Work/StoreManage HTTP/1.1" 200 14143
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:41:13 +0900] "POST /Work/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:41:13 +0900] "GET /Work/default.jsp HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:41:14 +0900] "GET /Work/login.jsp HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:41:18 +0900] "POST /Work/Login HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:41:18 +0900] "GET /Work/SuperAdminMain HTTP/1.1" 200 12282
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:10 +0900] "POST /Work/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:10 +0900] "GET /Work/default.jsp HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:12 +0900] "GET /Work/login.jsp HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:14 +0900] "POST /Work/Login HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:16 +0900] "POST /Work/Login HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:17 +0900] "GET /Work/default.jsp HTTP/1.1" 200 15610
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:18 +0900] "GET /Work/AdminStats HTTP/1.1" 500 2083
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:22 +0900] "GET /Work/StoreMemberManage HTTP/1.1" 200 57537
0:0:0:0:0:0:0:1 - - [12/Jun/2026:13:42:22 +0900] "GET /Work/GetRoles?storeId=star HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Jun/2026:14:32:25 +0900] "GET /Work/default.jsp HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [12/Jun/2026:14:32:26 +0900] "GET /Work/login.jsp HTTP/1.1" 200 9865
0:0:0:0:0:0:0:1 - - [12/Jun/2026:14:32:29 +0900] "POST /Work/Login HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [12/Jun/2026:14:32:31 +0900] "POST /Work/Login HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [12/Jun/2026:14:32:32 +0900] "GET /Work/default.jsp HTTP/1.1" 200 15610
0:0:0:0:0:0:0:1 - - [12/Jun/2026:14:32:34 +0900] "GET /Work/ExcelDownload?storeId=star&year=2026&month=5 HTTP/1.1" 200 950
